iter	RMSE
0	19529.5437
1	19457.25097
2	19355.53884
3	19234.47583
4	19143.89266
5	18993.60463
6	18907.45695
7	18798.70888
8	18698.52675
9	18601.00753
10	18498.95029
11	18365.14771
12	18253.35153
13	18159.97943
14	18090.65205
15	17966.10911
16	17880.67279
17	17784.3992
18	17698.88289
19	17631.21129
20	17554.82082
21	17413.46739
22	17353.21399
23	17253.49828
24	17180.35669
25	17094.75129
26	17020.81295
27	16956.70116
28	16883.81398
29	16807.52035
30	16717.93783
31	16635.10144
32	16505.01391
33	16454.17275
34	16351.75657
35	16279.15994
36	16224.13679
37	16168.43343
38	16101.0077
39	16012.75533
40	15939.05595
41	15892.23915
42	15830.74129
43	15772.07952
44	15718.33571
45	15672.04719
46	15590.20593
47	15524.8573
48	15449.56611
49	15394.0571
50	15319.10075
51	15263.71849
52	15226.2728
53	15169.34078
54	15113.30923
55	15037.93762
56	14994.66937
57	14938.05873
58	14883.79367
59	14834.51805
60	14765.56843
61	14741.92403
62	14695.39481
63	14645.82468
64	14583.19734
65	14550.97413
66	14510.85629
67	14479.51828
68	14415.11877
69	14341.21929
70	14300.60304
71	14267.02263
72	14236.23406
73	14196.10477
74	14171.44195
75	14108.39501
76	14054.64453
77	14003.93209
78	13944.11608
79	13918.17106
80	13858.72925
81	13782.73131
82	13758.26318
83	13707.77031
84	13658.46102
85	13599.56217
86	13544.58748
87	13480.02987
88	13460.30112
89	13414.00992
90	13404.35519
91	13343.41844
92	13304.62278
93	13232.75873
94	13157.59216
95	13097.51221
96	13034.04636
97	13006.4355
98	12969.35186
99	12903.71262
100	12887.8697
101	12837.80393
102	12807.89866
103	12772.54576
104	12741.92699
105	12705.94665
106	12660.93984
107	12630.4255
108	12602.47728
109	12564.14174
110	12522.34518
111	12492.19152
112	12467.0742
113	12428.16161
114	12389.5492
115	12352.45829
116	12322.67592
117	12312.9764
118	12278.62918
119	12244.51957
120	12194.06873
121	12167.92271
122	12122.72781
123	12104.71074
124	12080.45758
125	12037.99191
126	11990.90839
127	11974.63654
128	11940.0306
129	11917.27532
