iter	Passed	Remaining
0	49	49534
1	50	25141
2	50	16863
3	51	12772
4	51	10339
5	52	8681
6	52	7470
7	52	6556
8	53	5841
9	53	5278
10	53	4809
11	54	4460
12	55	4199
13	55	3924
14	55	3672
15	56	3460
16	56	3274
17	57	3111
18	57	2978
19	58	2844
20	58	2711
21	58	2595
22	58	2490
23	59	2406
24	59	2319
25	59	2241
26	60	2166
27	60	2095
28	60	2027
29	60	1966
30	61	1910
31	61	1860
32	62	1817
33	62	1765
34	62	1721
35	62	1681
36	63	1644
37	63	1604
38	63	1568
39	64	1537
40	64	1509
41	65	1483
42	65	1451
43	65	1422
44	65	1394
45	66	1370
46	66	1346
47	66	1322
48	66	1298
49	67	1273
50	67	1253
51	67	1232
52	67	1211
53	68	1193
54	68	1174
55	68	1156
56	69	1142
57	69	1125
58	69	1108
59	69	1093
60	69	1077
61	70	1062
62	70	1051
63	71	1039
64	71	1028
65	71	1015
66	71	1001
67	72	990
68	72	978
69	72	969
70	73	961
71	73	953
72	74	948
73	75	940
74	75	928
75	75	920
76	75	910
77	76	905
78	76	897
79	77	891
80	77	883
81	78	877
82	78	869
83	78	860
84	79	851
85	79	842
86	79	834
87	79	825
88	79	818
89	80	812
90	80	803
91	80	795
92	80	788
93	81	781
94	81	774
95	81	768
96	81	761
97	81	754
98	82	747
99	82	742
100	82	736
101	82	729
102	83	723
103	83	719
104	83	714
105	84	709
106	84	704
107	84	698
108	84	692
109	84	687
110	85	681
111	85	677
112	85	671
113	85	666
114	86	662
115	86	657
116	86	654
117	87	650
118	87	645
119	87	644
120	88	643
121	88	640
122	89	636
123	89	633
124	90	630
125	90	626
126	90	622
127	90	618
128	91	615
129	91	613
130	91	608
131	91	604
132	92	599
133	92	595
134	92	590
135	92	587
136	92	583
137	93	581
138	93	578
139	93	575
140	93	572
141	94	569
142	94	566
143	94	563
144	94	560
145	95	557
146	95	555
147	96	553
148	96	552
149	97	549
150	97	545
151	97	542
152	97	540
153	97	536
154	97	533
155	98	530
156	98	527
157	98	524
158	98	521
159	98	518
160	98	515
161	99	513
162	99	509
163	99	507
164	99	504
165	100	503
166	100	501
167	100	499
168	101	498
169	101	496
170	102	495
171	102	493
172	102	491
173	103	489
174	103	487
175	103	485
176	103	483
177	104	483
178	104	480
179	105	478
180	105	476
181	105	474
182	105	472
183	106	470
184	106	469
185	106	466
186	106	464
187	107	463
188	107	462
189	107	460
190	108	458
191	108	456
192	108	454
193	108	452
194	109	451
195	109	449
196	109	447
197	110	445
198	110	443
199	110	442
200	110	440
201	111	440
202	111	438
203	111	436
204	112	434
205	112	432
206	112	431
207	112	429
208	113	428
209	113	426
210	113	424
211	113	423
212	114	421
213	114	420
214	114	418
215	115	417
216	115	418
217	116	417
218	116	415
219	116	414
220	117	413
221	117	411
222	117	410
223	117	408
224	118	408
225	118	407
226	119	405
227	119	404
228	119	403
229	120	401
230	120	400
231	120	398
232	120	396
233	120	395
234	121	394
235	121	393
236	121	392
237	122	390
238	122	389
239	122	387
240	122	386
241	122	385
242	123	384
243	123	383
244	124	382
245	124	381
246	124	379
247	125	379
248	125	377
249	125	376
250	125	375
251	126	374
252	126	373
253	126	372
254	126	370
255	127	369
256	127	368
257	127	368
258	128	367
259	128	367
260	129	365
261	129	365
262	129	363
263	130	363
264	130	363
265	131	362
266	131	362
267	132	361
268	133	361
269	133	360
270	133	359
271	134	358
272	134	357
273	134	356
274	134	355
275	135	354
276	135	354
277	135	353
278	136	351
279	136	350
280	136	349
281	136	348
282	136	346
283	137	346
284	137	345
285	138	344
286	138	344
287	138	343
288	139	342
289	139	341
290	139	340
291	140	339
292	140	338
293	140	337
294	140	336
295	141	335
296	141	335
297	141	333
298	142	333
299	142	332
300	142	331
301	143	331
302	143	330
303	143	329
304	144	329
305	144	328
306	144	327
307	145	326
308	145	325
309	146	325
310	146	323
311	146	322
312	146	322
313	146	320
314	147	319
315	147	318
316	147	317
317	147	316
318	147	315
319	148	314
320	148	313
321	148	312
322	148	311
323	148	310
324	149	309
325	149	308
326	149	307
327	149	306
328	149	305
329	150	304
330	150	303
331	150	302
332	150	302
333	151	301
334	151	300
335	151	299
336	151	298
